장소,분류,운영시간,관광추천시간,주소
남이섬,"섬/반도, 해변",08:00-21:00 영업,3-4시간,강원도 춘천시 남산면 남이섬길 1
강원도립화목원,도시 공원,10:00-18:00 영업,2시간,대한민국 강원도 춘천시 신사우동 화목원길 24
정동진,도시 랜드 마크,연중무휴,2-4시간,대한민국 강릉시 강동면
쏠비치 양양 오션플레이,"리조트, 온천 리조트",정보없음,정보없음,강원도 양양군 손양면 선사유적로 678
설악산 국립공원,"산, 국립공원, 등산",09:00-18:00 영업,0.5-1일,강원도 양양군 서면약수길 설악산국립공원 오색남 설악 매표소
경포대,사적지,연중무휴,1-2시간,강원도 강릉시 저동 경포로 365
설악 워터피아,"온천 리조트, 워터파크, 테마파크","월요일, 목요일-일요일 10:00-18:30 영업",2시간,강원도 속초시 장사동 24-1
경포해변,해안,00:00-23:59 영업,1-2시간,강원도 강릉시 강동산 1번지
제이드가든수목원,식물원,09:00-18:00 영업,1-2시간,강원도 춘천시 남산면 햇골길 80
춘천시,도시 랜드 마크,연중무휴,1일,강원도 춘천시
속초등대전망대,"전망대, 등대",07:00-18:30 영업;06:00-20:00 영업,0.5-1시간,강원도 속초시 영금정로5길 8-28
낙산사,사찰,06:00-19:30 영업,1시간,강원도 양양군 강현면 전진1리 215-853
하슬라 아트월드,테마파크,월요일 09:00-18:30 영업;화요일-일요일 09:00-18:00 영업,2-3시간,강원도 강릉시 강동면 율곡로 1441
대관령양떼목장,"농장, 초원",09:00-16:30 영업,2시간,강원도 평창군 대관령면 꽃밭양지길 708-9
주문진해변,해변,연중무휴,1-3시간,강원도 강릉 주문진읍 향호리 8-35
속초해수욕장,"목욕탕, 해변",1-2시간,정보없음,강원도 속초 일출로 190
바다열차,해안,80분,정보없음,강원도 삼청시 갈천동 수로부인길 542
아바이 마을,농촌,연중무휴,2시간,강원도 속초시 서후동 122
오색 탄산온천,온천 리조트,06:00-22:00 영업,3시간,강원도 양양군 오색리 511
강문해변,해변,연중무휴,2-3시간,강원도 강릉 창해로350번길 15-1 (우) 25467
오죽헌,사적지,09:00-17:00 영업,1-2시간,강원도 강릉시 경포동 율곡로3139번길 24
모래시계 공원,도시 공원,00:00-23:59 영업,0.5-1시간,강원도 강릉시 강동면 한화로 990-1
비발디파크 오션월드,"유원지, 야외 스키",2시간,정보없음,강원도 홍천시 서면 한치골길 262
하이원 리조트,"리조트, 온천 리조트",2-3시간,정보없음,강원도 정선시 사북읍 하이원길 265-1
하조대,사적지,00:00-23:59 영업,정보없음,강원 양양군 현북면 하광정리
메타세콰이어가로수길,숲,연중무휴,1-2시간,강원 춘천시 동내면 거두리~동면 장학리 구간
테디베어팜,전시홀,"월요일, 수요일-금요일 10:00-18:00 영업;토요일-일요일 10:00-18:00 영업",1시간,강원도 속초시 노학동 1073-66
망상 해수욕장,"해변, 해안",연중무휴,3-5시간,대한민국 강원도 동해시 망상동 동해대로 망상 해수욕장
스카이워크전망대,"전망대, 하이킹",09:00-18:00 영업;09:00-17:00 영업,2시간,강원도 춘천시 근화동 영서로 2675
묵호항,항구/항만,연중무휴,2-3시간,동해시 묵호항
원조초당순두부,"전통 마을, 농촌",08:00-16:30 영업,1-2시간,강원도 강릉시 강문동 초당순두부길 47
신흥사,사찰,4:00-19:00 영업,1시간,강원도 속초시 설악동 설악산로 1137
정동진 시간박물관,박물관,09:00-18:00 영업,1-2시간,대한민국 강원도 강릉시 강동면 헌화로 990-1
통일전망대,전망대,09:00-16:30 영업,1시간,강원도 고성군 현내면 마차진리 188
강릉선교장,사적지,09:00-17:00 영업,1-2시간,강원도 강릉시 경포동 운정길 63
홍천온천원탕,온천 리조트,09:00-19:00 영업,1-2시간,강원도 홍천군 북방면 소매곡리 24-2
설악테디베어뮤지엄,박물관,09:00-19:00 영업,2시간,강원도 고성군 토성면 원암리 403-1
정관루,역사 건축물,4일,정보없음,강원도 춘천시 남산면 방하리 198-1
뮤지엄 산,박물관,화요일-일요일 10:00-18:00 영업,2-3시간,대한민국 강원도 원주시 지정면 오크밸리2길 260
환선굴,동굴,08:00-18:00 영업,2-3시간,강원도 삼척 신기면 환선로 800
안목해변,해변,00:00-23:59 영업,3-4시간,대한민국 강원도 강릉시 견소동 286 안목해변
엘리시안강촌스키리조트,"리조트, 야외 스키",09:00-04:00 영업,2-3일,대한민국 강원도 춘천시 남산면 북한강변길 688
알펜시아리조트스키장,리조트,08:30-22:00 영업,1-2일,강원도 평창군 대관령면 솔봉로 325
정동진 해돋이공원,도시 공원,00:00-23:59 영업,2시간,강원도 강릉시 강동면 정동진리
화진포해수욕장,해안,연중무휴,2시간,대한민국 강원도 고성군 거진읍 화포리 1
삼척해양레일바이크,"하이킹/사이클링, 하이킹/사이클링, 해안",09:00-18:00 영업,2-3시간,강원도 삼척시 미숙면 몽촌리 146-10
춘천 명동 닭갈비 골목,테마 거리,연중무휴,2-3시간,강원도 춘천시 조운동 명동길 9
대포항,항구/항만,연중무휴,2시간,대한민국 속초시 대포동
에디슨과학박물관,박물관,10:00-17:00 영업,1-2시간,대한민국 강원도 강릉시 저동 경포로 393
엑스포타워상징탑,전망대,9:00-21:30 영업,1-2시간,대한민국 강원도 속초시 조양동
알펜시아리조트스키장&알파인코스터,"리조트, 야외 스키",08:30-22:00 영업,4시간,강원도 평창군 대관령면 솔봉로 325
김유정 문학촌,농촌,화요일-일요일 09:30-17:30 영업,1일,춘천시 신동면 강원도 춘천시 신동면 실레길 25
삼팔선,군사 시설,연중무휴,1시간,경기도 포천시 영중면 호국로 3020
오대산국립공원,국립공원,00:00-23:59 영업,1-2일,"강원도 평창군 진푸면 동산리 도암면 평리리, 양구면 신왕리"
청초호,기타 종교 시설,연중무휴,1시간,강원도 속초 청호동
애니메이션박물관,박물관,화요일-일요일 10:00-18:00 영업,2시간,대한민국 강원도 춘천시 서면 박사로 854
대관령양떼목장,"농장, 농촌",09:00-18:30 영업,2시간,강원도 평창군 대관령 대관령마루길 483-32
촛대 바위,지질 명소,00:00-23:59 영업,2-3시간,강원도 동해 추암동 (우) 240-220
하이원리조트 알파인코스터,"리조트, 케이블카, 현대 건축물",09:00-16:30 영업,2시간,강원도 정선군
춘천중앙시장,테마 거리,월요일-토요일 08:35-20:30 영업,3시간,강원도 춘천시 중앙로2가 42-18
설악케이블카,케이블카,09:00-17:30 영업,5-10분,강원도 속초 설악동 설악산국립공원 내부
대명비발디파크 스키월드,야외 스키,08:00-22:30 영업,3시간,강원도 홍천군 서면시 합천리 1290-14
장호항,,연중무휴,2시간,삼척시 장호항
용평스키여행,"리조트, 산, 야외 스키",월요일-금요일 09:00-18:00 영업;토요일 09:00-15:00 영업;일요일 휴무,2-5시간,강원도 평창군 대관령면 130
월정사,사찰,연중무휴,2-4시간,강원도 평창군 진부면 오대산로
강촌레일파크,도시 공원,09:00-17:30 영업,2-3시간,강원 춘천시 신동면 증리 323-2
낙산 해수욕장,해변,06:00-23:59 영업,2-3시간,강원도 양양시 강현면 주청리 1
사천해변,"해변, 해안",2-3시간,정보없음,강원도 강릉시 샤카와해수욕장 877
권금성,사적지,06:00-18:00 영업,1-2시간,강원도 속초 설악동 설악산국립공원내 (우) 217-120
정동진 조각공원,테마파크,00:00-23:59 영업,2-3시간,대한민국 강원도 강릉시 강동면 정동진리 50-10
경포호철새서식지,호수,1시간,정보없음,"강원도 강릉시 강동동, 윤정동, 강문동(경포대 앞)"
소양강댐,수자원 시설,연중무휴,1-2시간,춘천시 신북읍 소양강댐
오크밸리 스키 리조트,야외 스키,0.5-1일,정보없음,강원도 원주시 정지면 판대리 577-19
영랑호,호수,연중무휴,1-2시간,속초시 영랑호
미천골계곡,"폭포, 산, 숲","월요일, 수요일-일요일 09:00-18:00 영업",정보없음,대한민국 강원도 양양군 서면 서림리
두타산 자연휴양림,숲,09:00-18:00 영업,0.5-1일,대한민국 강원도 평창군 진부면 아차골길
묵호 등대 해양 문화 공간,등대,7:00-17:30 영업,1-2시간,강원도 동해 묵호진동 (우) 210-824
화암동굴,동굴,9:00-18:00 영업,1.5-2시간,강원도 정선시 화암면 화암리 540
DMZ 박물관,"박물관, 전시홀",화요일-일요일 09:00-18:00 영업,1-2시간,대한민국 강원도 고성군 현내면 통일전망대로 369
울산암각화박물관,"산, 지질 명소, 등산",2-5시간,정보없음,강원도 속초 설악동 설악산국립공원 내부
강릉통일공원,테마파크,00:00-23:59 영업,1-3시간,대한민국 강원도 강릉시 강동면 율곡로 1715-38
조도,습지,2-3시간,정보없음,전라남도 진도군 도시마도
운암정 베이커리카페,농촌 체험,11:30-21:00 영업,0.5-1일,대한민국 강원도 정선군 사북읍 하이원길 265
휘닉스 평창,야외 스키,09:00-17:00 영업,1일,강원도 평창군 봉평면 태기로 228-33
천곡황금박쥐동굴,동굴,09:00-18:00 영업,1-2시간,대한민국 강원도 동해시 동굴로
국립춘천박물관,박물관,화요일-일요일 09:00-18:00 영업,1-2시간,강원도 춘천 우석로 70 (우) 200-933
척산 족욕공원,온천 리조트,09:00-18:00 영업,1시간,광광로 277 | 강원도 속초 척산온천지구 일대
소양강처녀상,조각상/조각품,00:00-23:59 영업,0.5-2시간,대한민국 강원도 춘천시 근화동 영서로 2675
금강굴,동굴,8:00-17:00 영업,1-2시간,대한민국 강원도 속초시 설악동
아라나비,유원지,화요일-일요일 10:00-17:00 영업;월요일 휴무,2-3시간,대한민국 강릉시 성덕동 강원도 강릉시 남항진동 1-4번지(남항진 해변)
고성 공룡박물관,박물관,화요일-일요일 09:00-18:00 영업,2-3시간,강원도 고성군 하이면 자라만로 618 (우) 638-931
사천진해변,해변,연중무휴,정보없음,대한민국 강릉시 사천진해변
척산온천장,"온천 리조트, 스파",05:30-20:00 영업,2시간,강원도 속초시 노학동 939-7
허브나라농원,"농장, 정원",09:00-18:30 영업,1-2시간,대한민국 강원도 평창군 봉평면 흥정계곡길 225
동굴신비관,동굴,09:00-18:00 영업,1-2시간,대한민국 삼척시 강원도 삼척시 엑스포로 69 (성남동)
아라리촌,"민속촌, 농촌",09:00-18:00 영업,정보없음,대한민국 강원도 정선군 정선읍 애산로 37
웰리힐리파크,"리조트, 야외 스키",정보없음,정보없음,강원 횡성군 둔내면 고원로 451
소양강스카이워크,전망대,10:00-21:00 영업,1-2시간,대한민국 강원도 춘천시 근화동 영서로 2675
치악산국립공원,국립공원,1/1-3/31 05:00-13:00 영업;4/1-10/31 04:00-14:00 영업;11/1-12/31 05:00-13:00 영업,0.5-1일,강원도 원주시 소초면 무쇠점2길 26
별마로천문대,박물관,화요일-일요일 14:00-22:00 영업,2-3시간,대한민국 강원도 영월군 영월읍 영흥리 154-3
대관령박물관,박물관,09:00-18:00 영업,1-3시간,대한민국 강원도 강릉시 성산면 대관령옛길 1
대관령자연휴양림,"숲, 국립공원","월요일, 수요일-일요일 09:00-18:00 영업",3-4시간,대한민국 강원도 강릉시 성산면 삼포암길 133
추암해수욕장,해변,연중무휴,2-3시간,강원도 동해 촛대바위길
무릉계곡,협곡,09:00-20:00 영업,0.5-1일,대한민국 강원도 동해시
백담사(百潭寺),사찰,00:00-23:59 영업,1-2시간,대한민국 강원도 인제군 북면 백담로 746
강원드라마갤러리,아트 갤러리,09:00-18:00 영업,1시간,강원도 춘천시 퇴계동 770-3
공지천 유원지,도시 공원,연중무휴,2-3시간,대한민국 강원도 춘천시 근화동
외옹치,해안,2-3시간,정보없음,대한민국 속초시
비룡폭포,폭포,04:00-12:00 영업;03:00-14:00 영업,2-4시간,강원도 속초시 대포동 설악산로
죽서루,역사 건축물,09:00-18:00 영업,1-2시간,대한민국 강원도 삼척시 죽서루길 37
영월 한반도 지형,도시 랜드 마크,00:00-23:59 영업,0.5-1일,대한민국 강원도 영월군 한반도면 한반도로 555
원주 한지테마파크,테마파크,화요일-일요일 09:00-17:30 영업,2-3시간,강원도 원주시 한지공원길 151
영월 장릉,사적지,09:00-18:00 영업,1-2시간,"강원도 영월시 영월읍 단종로 190, 26225, 우"
춘천막국수체험박물관,박물관,화요일-일요일 10:00-17:00 영업,2-3시간,강원도 춘천 신북읍 산천1리 342-1 200-822
새천년해안도로,해안,연중무휴,2-3시간,강원도 삼척시 새천년도로 61-18
태백산 국립공원,국립공원,0.5-1일,정보없음,강원도 태백 태백산로 4778 (우) 26043
가평레일파크,기타 관광 투어,정보없음,정보없음,대한민국 가평군
강릉단오문화관,"유네스코 세계문화유산, 전시홀",월요일-금요일 09:00-18:00 영업;토요일-일요일 휴무,정보없음,강원도 강릉 단오장길 1 (우) 210-932
박경리 문학공원,박물관,10:00-17:00 영업,2-3시간,대한민국 강원도 원주시 단구동 토지길 1
오션 700,워터파크,"월요일, 수요일-일요일 10:00-17:30 영업",4시간,강원도 평창군 대관령면 송봉로 325
새비재골,협곡,1시간,정보없음,강원도 정선군 신동관
천당폭포,폭포,연중무휴,2-4시간,대한민국 강원도 속초시 설악동 설악산국립공원
JSKI,"캠핑장, 경기장/스타디움",정보없음,정보없음,서면 한서로 2217 | 강원도 홍천군 스노우뷰 25103
포천한탄강 표류,"래프팅, 강",정보없음,정보없음,"강원군, 강원군, 강원도, 강원도"
덕풍 계곡 마을,협곡,0.5-1일,정보없음,강원도 삼척 가곡면 풍고간길 17-18
강원도 바다열차,기타 관광 투어,1-3시간,정보없음,강원도 강릉시 강동 118
강원도민회공원,,정보없음,정보없음,울산광역시 남구 삼산동
대승폭포,폭포,03:00-13:00 영업,30분,강원도 인제군 북쪽 한시 3마일
천주교 풍수원 성당,기타 종교 시설,8:00-18:00 영업,1-2시간,대한민국 강원도 횡성군 서원면 경강로유현1길 30
하이원 리조트,"리조트, 야외 스키",08:30-19:00 영업,2시간,강원도 정선군 고한읍 사북읍 하이원길 265-1
한국자생식물원,식물원,화요일-일요일 09:00-17:00 영업,2시간,강원도 평창군 대관리면 비안로 159-4
파슈파티나트 힌두사원,마을,연중무휴,1일,대한민국 강원도
중도관광리조트,섬/반도,09:00-21:00 영업,2-3시간,강원도 춘천시 미카와동 200번지
대청봉,"산, 등산",0.5-1일,정보없음,강원도 속초 설악동 설악산국립공원 내부
휴휴암,광장,1-2시간,정보없음,대한민국 강원도 양양군 현남면 광진리 1
하늬라벤더팜,식물원,"9/1-9/30 월요일, 수요일-일요일 10:00-17:00 영업",2-3시간,대한민국 강원도 고성군 간성읍 꽃대마을길 175 KR
춘천미술관,박물관,10:00-18:00 영업,2-3시간,대한민국 강원도 춘천시 옥천동 73-2
월정리역(月井里驛),사적지,정보없음,정보없음,대한민국 강원도 철원군 철원읍 홍원리 692-2
(주)브라운5번가,테마 거리,연중무휴,1시간,대한민국 춘천시 죽림동 189번지 춘천시 강원도 KR
만경대,사적지,연중무휴,1-2시간,대한민국 강원도 동해시 구미동 산53
발왕산,산,0.5-1일,정보없음,대한민국 강원도 평창군 대관령면 용산리
속초시립박물관,박물관,화요일-일요일 09:00-18:00 영업,2-3시간,대한민국 속초시 강원도 속초시 신흥2길 16
이효석문학관,숲,09:00-21:00 영업,0.5-1일,대한민국 강원도 평창군 봉평면 창동리 544-3
오크밸리 스키장,도시 공원,정보없음,정보없음,"577-20 Pandae-ri, Jijeong-myeon, Wonju-si, Gangwon-do, 대한민국"
피크아일랜드,워터파크,"월요일-화요일, 목요일-일요일 10:00-18:00 영업",0.5-1일,대한민국 강원도 평창군 대관령면 올림픽로 715
대금굴,동굴,월요일-토요일 10:45-20:00 영업,2시간,강원도 신기면 신도로 800원
화진포 해양박물관,"박물관, 아쿠아리움",09:00-18:00 영업,정보없음,대한민국 강원도 고성군 현내면 화진포길 412
방태산 자연휴양림,숲,"월요일, 수요일-일요일 09:00-18:00 영업",0.5-1일,강원도 인제군 기린면 방태산길 241 (우) 24656
강촌유원지,농촌,연중무휴,2-3시간,대한민국 강원도 춘천시 남산면 강촌리
낙산사,"역사 건축물, 사적지",연중무휴,1-2시간,강원도 양양군 강현면 낙산사로 100
천불동계곡,"지질 명소, 협곡",2-4시간,정보없음,강원도 속초 설악동 설악산국립공원 내부
석봉도자기미술관,"박물관, 미술관",화요일-일요일 09:00-18:00 영업,0.5-1시간,대한민국 강원도 속초시 교동 엑스포로 156
흥정계곡,협곡,2-6시간,정보없음,대한민국 강원도 평창군 봉평면 흥정리
횡성온천,"호수, 온천 리조트",7:00-21:00 영업,정보없음,횡선시 갑천면
해신당공원,도시 공원,월요일-금요일 09:00-18:00 영업,정보없음,대한민국 강원도 삼척시 원덕읍 삼척로 1852-6
동강사진박물관,박물관,10:00-17:00 영업,2-3시간,강원도 영월군 영월읍 하송1리 217-2 (우) 230-808
가트배 보트,,정보없음,정보없음,강원도 속초시 청호로 122
얼라이브하트,트릭 아트 박물관,10:00-18:00 영업,정보없음,대한민국 강원도 속초시 노학동 원암학사평길 88
설악해맞이공원,도시 공원,연중무휴,1-2시간,대한민국 강원도 속초시 대포동 178-9
화진포,호수,1/1-2/28(겨울) 09:00-17:30 영업;3/1-10/31(여름) 09:00-18:00 영업;11/1-12/31(겨울) 09:00-17:30 영업,2-3시간,대한민국 강원도 고성군 거진읍 화진포길 280
삼탄아트마인,이색 체험,09:00-18:00 영업;09:30-17:30 영업,1시간,"강원도, 정선, 고한읍, 1445-44"
연곡해변,해변,연중무휴,정보없음,대한민국 강릉시 연곡해변
삼부연폭포,폭포,00:00-23:59 영업,1-3시간,대한민국 강원도 철원군 갈말읍 삼부연로 216
가곡자연휴양림,"폭포, 숲",00:00-23:59 영업,정보없음,대한민국 강원도 삼척시 가곡면 풍곡리
블루 캐년,워터파크,09:00-20:00 영업,2-3시간,"1088-1 Myeonon-ri, Bongpyeong-myeon, Pyeongchang-gun, Gangwon-do"
이효석 문화마을,"박물관, 문화 관광 단지",연중무휴,1시간,대한민국 강원도 평창군 봉평면 창동리
청대산,산,0.5-1일,정보없음,대한민국 속초시 청대산
정선 레일바이크,"하이킹/사이클링, 하이킹/사이클링",08:30-16:40 영업,90분,강원도 정선시 여량면 노추산로 745
삼척문화예술회관,극장,1-2시간,정보없음,대한민국 강원도 삼척시 엑스포로 45
능파대,지질 명소,정보없음,정보없음,강원도 고성군 주광면 문암진리
한솔오크밸리스키장,야외 스키,09:00-22:30 영업,1일,강원 원주시 지정면 오크밸리2길 58월송리 1016
태백고원자연휴양림,숲,화요일-일요일 00:00-23:59 영업,정보없음,대한민국 강원도 태백시 철암동 머리골길 153
오투리조트,야외 스키,"월요일-화요일, 금요일-일요일 09:00-22:00 영업;수요일-목요일 08:30-21:30 영업",1일,대한민국 강원도 태백시 삼수동 서학로 861 오투리조트
상원사,기타 종교 시설,2-4시간,정보없음,강원도 원주시 신림면 산성남리 171 (우) 220-860
원주역사박물관,박물관,화요일-일요일 09:00-18:00 영업,정보없음,대한민국 강원도 원주시 봉산동 봉산로 134
삼화사,기타 종교 시설,1-2시간,정보없음,강원도 동해 삼화동 176 (우) 240-350
비선대,하이킹,2-3시간,정보없음,대한민국 Seoraksan 북면 Inje-gun
삼척온천,"온천 리조트, 스파",05:00-21:00 영업,정보없음,강원도 삼척시 동해대로 4098
을지전망대,전망대,화요일-일요일 09:00-18:00 영업,1시간,대한민국 강원도 양구군 해안면 현2리
양구선사박물관,박물관,화요일-일요일 09:00-18:00 영업,정보없음,강원도 양구 양구읍 금강산로 439-54 (우) 24520
범산목장,농장,정보없음,정보없음,대한민국 강원도 횡성군 우천면 하대리 49
무이예술관,"미술관, 파인 아트 갤러리","월요일-화요일, 목요일-일요일 10:00-21:00 영업",정보없음,대한민국 강원도 평창군 봉평면 사리평길 233 KR
엑스포공원,도시 공원,정보없음,정보없음,강원도 삼척시 성남동 1-5
6.25 전쟁체험전시관,,정보없음,정보없음,대한민국 강원도 고성군 현내면 명호리 88-8
인제산촌민속박물관,박물관,영업시간 추후 공지,정보없음,대한민국 강원도 인제군 인제읍 상동리 415-1
정선 알파인 경기장,,정보없음,정보없음,대한민국 강원도 정선군 북평면 숙암리 산400
오세암,기타 종교 시설,1-2시간,정보없음,대한민국 강원도 인제군 북면 백담로 1325
황지연못,호수,00:00-23:59 영업,2-3시간,"황지 연못, 황지동 태백시 강원도 대한민국"
강원경찰박물관,박물관,화요일-일요일 09:30-17:00 영업,정보없음,강원도 춘천 신북읍 신사엠밭로 361
태백석탄박물관,박물관,화요일-일요일 09:00-18:00 영업,100-130분,강원도 태백 천제단길 195 (우) 235-030
오산리 선사유적박물관,박물관,09:00-18:00 영업,2-3시간,대한민국 강원도 양양군 손양면 오산리 51
검봉산 자연휴양림,산,"월요일, 수요일-일요일 09:00-18:00 영업",정보없음,강원도 삼척 원덕읍 임원안길 525-145 25956
범바위,지질 명소,0.5-1시간,정보없음,대한민국 강원도 속초시 금호동 610-21
알펜시아 스키점프센터,"전망대, 경기장/스타디움","월요일, 수요일-일요일 09:20-16:50 영업",정보없음,강원도 평창군 대관령면 솔봉로 325 (우) 25351
철의삼각전적지,"역사 건축물, 군사 시설",정보없음,정보없음,강원도 철원 (우) 269-810
대한불교조계종 수타사,기타 종교 시설,정보없음,정보없음,대한민국 강원도 홍천군 동면 수타사로 473
검룡소,호수,정보없음,정보없음,강원도 태백시 창죽동
춘천시구곡폭포관광지관리사무소,폭포,2시간,정보없음,강원도 춘천 남산면 강촌구곡길 314-1
